No.,Sex,Chest,Length
100,F,34,S
101,F,34,S
102,F,36,S
103,F,36,S
104,F,36,S
105,F,36,S
106,F,36,S
107,F,36,R
108,F,36,R
109,F,36,R
110,F,36,R
111,F,38,R
112,F,38,L
113,F,38,S
114,F,38,S
115,F,38,S
116,F,38,S
117,F,38,S
118,F,38,R
119,F,38,R
120,F,38,R
121,F,38,R
122,F,40,XS
123,F,40,XS
124,F,40,S
125,F,40,S
126,F,40,S
127,F,40,S
128,F,40,R
129,F,40,R
130,F,40,R
131,F,40,R
132,F,42,S
133,F,42,R
134,F,42,R
135,F,42,R
136,F,42,R
137,F,42,L
138,F,44,S
139,F,44,S
140,F,44,R
141,F,44,R
142,F,44,R
143,F,46,S
144,F,46,R
145,F,46,R
146,F,48,S
147,F,48,R
148,F,48,R
149,F,48,R
150,F,50,S
151,F,50,R
152,F,50,R
153,F,52,S
154,F,52,R
155,F,52,R
156,F,54,R
157,F,56,R
158,F,58,R
159,F,60,R
160,F,34,S
161,F,36,L
162,F,40,R
163,F,42,L
164,F,44,XL
165,F,46,L
166,F,48,R
167,F,48,XL
176,F,34,S
177,F,36,S
178,F,36,R
179,F,38,R
180,F,38,L
181,F,40,R
182,F,42,L
183,F,42,XL
184,F,44,R
185,F,44,L
186,F,46,R
187,F,46,R
188,F,50,R
189,F,50,R
190,F,52,PLL
191,F,52,PLR
192,F,58,R
200,M,36,R
201,M,38,S
202,M,38,R
203,M,38,R
204,M,38,R
205,M,38,R
206,M,38,R
207,M,38,R
208,M,38,L
209,M,38,L
210,M,38,L
211,M,38,XL
212,M,40,S
213,M,40,S
214,M,40,R
215,M,40,R
216,M,40,R
217,M,40,R
218,M,40,R
219,M,40,R
220,M,40,L
221,M,40,L
222,M,40,L
223,M,40,L
224,M,40,L
225,M,40,L
226,M,40,L
227,M,40,XL
228,M,42,R
229,M,42,R
230,M,42,R
231,M,42,R
232,M,42,R
233,M,42,R
234,M,42,L
235,M,42,L
236,M,42,L
237,M,42,L
238,M,42,XL
239,M,42,XL
240,M,42,XL
241,M,44,R
242,M,44,R
243,M,44,R
244,M,44,L
245,M,44,L
246,M,44,L
247,M,44,L
248,M,44,XL
249,M,44,XL
250,M,44,XL
251,M,44,XL
252,M,46,R
253,M,46,R
254,M,46,R
255,M,46,R
256,M,46,L
257,M,46,L
258,M,46,L
259,M,46,XL
260,M,46,XL
261,M,48,R
262,M,48,R
263,M,48,L
264,M,48,L
265,M,48,XL
266,M,50,R
267,M,50,R
268,M,50,L
269,M,52,R
270,M,52,R
271,M,52,L
272,M,54,R
273,M,54,R
274,M,54,L
275,M,56,R
276,M,56,L
277,M,58,R
278,M,58,R
279,M,60,R
280,M,60,L
281,M,62,L
282,M,62,XL
283,M,62,XXL
284,M,64,R
285,M,66,L
286,M,38,R
287,M,38,XL
288,M,40,XL
289,M,42,XL
290,M,44,XL
291,M,46,XL
292,M,48,XL
400,M,36,R
401,M,38,R
402,M,38,L
403,M,38,L
404,M,38,XL
405,M,40,L
406,M,40,L
407,M,40,XL
408,M,42,L
409,M,42,L
410,M,42,XL
411,M,44,L
412,M,44,L
413,M,46,L
414,M,46,XL
415,M,48,L
416,M,48,L
417,M,52,L