No.,Sex,Waist,Seat,Outseam
100,F,26,38,38
101,F,26,38,38
102,F,28,40,40
103,F,28,40,38
104,F,28,40,38
105,F,28,40,38
106,F,28,40,38
107,F,28,40,41
108,F,28,40,41
109,F,28,40,41
110,F,28,40,41
111,F,28,40,41
112,F,28,40,43.5
113,F,30,42,40.5
114,F,28,40,39
115,F,30,42,38
116,F,30,42,38
117,F,30,42,38
118,F,30,42,41
119,F,30,42,41
120,F,30,42,41
121,F,30,42,41
122,F,32,44,36
123,F,32,44,36
124,F,30,42,40.5
125,F,32,44,38
126,F,32,44,38
127,F,32,44,38
128,F,28,40,41
129,F,32,44,41
130,F,32,44,41
131,F,32,44,41
132,F,34,46,38
133,F,34,46,42.5
134,F,34,46,41
135,F,34,46,41
136,F,34,46,41
137,F,34,46,43.5
138,F,34,46,38
139,F,36,48,38
140,F,36,48,41
141,F,36,48,41
142,F,36,48,41
143,F,38,50,38
144,F,38,50,41
145,F,38,50,41
146,F,40,52,38
147,F,38,50,41.5
148,F,40,52,41
149,F,40,52,41
150,F,42,54,38
151,F,42,54,41
152,F,42,54,41
153,F,42,54,40
154,F,48,58,41.5
155,F,44,56,41
156,F,48,58,41
157,F,50,60,41
158,F,52,62,41
159,F,54,64,41
168,F,28,40,38
169,F,28,40,43.5
170,F,32,44,41
171,F,34,46,43.5
172,F,36,48,44
173,F,38,50,43
174,F,40,52,41
175,F,44,56,44
193,F,26,38,38
194,F,28,40,38
195,F,28,40,41
196,F,30,42,41
197,F,30,42,41.5
198,F,32,44,41
199,F,34,46,42.5
300,F,34,46,43.5
301,F,36,48,41
302,F,38,50,42.5
303,F,38,50,44
304,F,42,54,41
305,F,42,54,41
306,F,48,58,41.5
307,F,50,60,42.5
308,F,50,60,44
309,F,52,62,41
200,M,30,38,40.5
201,M,32,40,38.5
202,M,32,40,41.5
203,M,32,40,40.5
204,M,32,40,41
205,M,32,40,41.5
206,M,32,40,40.5
207,M,32,40,40.5
208,M,32,40,42.5
209,M,32,40,42.5
210,M,32,40,42.5
211,M,32,40,44
212,M,32,40,39
213,M,34,42,38.5
214,M,34,42,40.5
215,M,34,42,40.5
216,M,34,42,40.5
217,M,34,42,40.5
218,M,34,42,40.5
219,M,34,42,40.5
220,M,34,42,42.5
221,M,32,40,43.5
222,M,34,42,42.5
223,M,34,42,42.5
224,M,34,42,42.5
225,M,34,42,42.5
226,M,34,42,42.5
227,M,34,42,44
228,M,36,44,41.5
229,M,36,44,40.5
230,M,36,44,40.5
231,M,36,44,40.5
232,M,36,44,40.5
233,M,36,44,40.5
234,M,36,44,43
235,M,36,44,43
236,M,36,44,43
237,M,36,44,43
238,M,34,42,44
239,M,36,44,44
240,M,36,44,44
241,M,38,46,40.5
242,M,38,46,40.5
243,M,38,46,40.5
244,M,38,46,42.5
245,M,36,44,43.5
246,M,38,46,42.5
247,M,38,46,42.5
248,M,36,44,44
249,M,34,42,44
250,M,38,46,44
251,M,38,46,44
252,M,40,48,40.5
253,M,40,48,40.5
254,M,40,48,40.5
255,M,40,48,40.5
256,M,40,48,42.5
257,M,40,48,42.5
258,M,40,48,42.5
259,M,40,48,44
260,M,40,48,44
261,M,42,50,40.5
262,M,42,50,40.5
263,M,42,50,42.5
264,M,42,50,42.5
265,M,42,50,44
266,M,44,52,40.5
267,M,44,52,40.5
268,M,44,52,42.5
269,M,42,50,41
270,M,46,54,40.5
271,M,46,54,42.5
272,M,44,52,40.5
273,M,48,56,40.5
274,M,48,56,42.5
275,M,52,58,40.5
276,M,52,58,42.5
277,M,48,56,41.5
278,M,54,60,40.5
279,M,56,62,40.5
280,M,56,62,42.5
281,M,56,62,43
282,M,54,60,45.5
283,M,54,60,46
284,M,56,62,40.5
285,M,62,68,42.5
293,M,32,40,41.5
294,M,34,42,44
295,M,34,42,44
296,M,36,44,44
297,M,36,44,44
298,M,40,48,44
299,M,42,50,44
418,M,30,38,40.5
419,M,32,40,41.5
420,M,32,40,42.5
421,M,34,42,41
422,M,34,42,42.5
423,M,34,42,42.5
424,M,34,42,43
425,M,34,42,44
426,M,36,44,41
427,M,36,44,42.5
428,M,36,44,42.5
429,M,38,46,41
430,M,38,46,44
431,M,40,48,43
432,M,40,48,44
433,M,42,50,43
434,M,42,50,42.5
435,M,48,56,42.5